Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR28499033_1 - illumina_universal_adapter	(1, 0.011424635029031271)	(2, 0.011647998639301977)	(3, 0.016814316217600333)	(4, 0.03346731427222738)	(5, 0.04639758548900933)	(6, 0.05416981185379925)	(7, 0.060994811056515254)	(8, 0.06672367402364353)	(9, 0.07096344625563378)	(10, 0.07859503627321622)	(11, 0.08414603562475857)	(12, 0.0880135351729643)	(13, 0.09192653471585481)	(14, 0.09590985243234906)	(15, 0.09927271567586912)	(16, 0.10230053350398313)	(17, 0.10478648775903301)	(18, 0.1068670784250731)	(19, 0.1086912145756172)	(20, 0.11015135076868311)	(21, 0.1113260779041809)	(22, 0.11246771413445339)	(23, 0.11336116857553621)	(24, 0.11428357755869116)	(25, 0.11513566836824238)	(26, 0.11587194100950507)	(27, 0.1165503045666235)	(28, 0.11725348630266091)	(29, 0.11787807713878826)	(30, 0.11870948613257366)	(31, 0.11952848603689958)	(32, 0.12029371322023441)	(33, 0.12117062220870459)	(34, 0.12207234937609374)	(35, 0.12305266744339294)	(36, 0.12416948549474646)	(37, 0.12538557626177588)	(38, 0.12647757613421043)	(39, 0.1278880759694384)	(40, 0.1292530758099816)	(41, 0.13068425746097537)	(42, 0.13233880272223986)	(43, 0.13419602977800923)	(44, 0.13616907500206715)	(45, 0.1382744838470262)	(46, 0.14047916540766114)	(47, 0.1429361651206389)	(48, 0.14556689208604942)	(49, 0.1485243917405597)	(50, 0.15174248227371911)	(51, 0.15528734549597828)	(52, 0.15911761777580555)	(53, 0.16342357181824638)	(54, 0.1678039803974441)	(55, 0.17311093432294994)	(56, 0.17862057004296067)	(57, 0.18446111481522431)	(58, 0.19119925039172392)	(59, 0.19849993135705346)	(60, 0.20665270313193423)	(61, 0.21519015668005897)	(62, 0.22468311011656394)	(63, 0.23516465434667447)	(64, 0.24632042577075025)	(65, 0.25836965163590886)
SRR28499033_1 - polya	(1, 0.0033669996066732276)	(2, 0.010419498782813097)	(3, 0.013827862021017937)	(4, 0.02178208836454695)	(5, 0.024371451698425868)	(6, 0.026749860511493567)	(7, 0.031039269101321747)	(8, 0.03718590474691931)	(9, 0.04915653971216786)	(10, 0.06310021990147431)	(11, 0.06782808298553758)	(12, 0.07180726433887867)	(13, 0.07695703646456438)	(14, 0.08207785404817795)	(15, 0.0875006261419723)	(16, 0.09419326172378716)	(17, 0.10007103376442923)	(18, 0.1048526695694836)	(19, 0.10952675993255577)	(20, 0.11605394098824416)	(21, 0.1236855310058266)	(22, 0.13382375709422473)	(23, 0.14562893753334685)	(24, 0.15429875470237275)	(25, 0.16437493534347347)	(26, 0.17830207008016727)	(27, 0.190764932260642)	(28, 0.20856783927184785)	(29, 0.22074942875790765)	(30, 0.22991147314215973)	(31, 0.23633110875586594)	(32, 0.24288724435362646)	(33, 0.2524050159690504)	(34, 0.26050401502294007)	(35, 0.2683300141087211)	(36, 0.2736493771236864)	(37, 0.2783731038445965)	(38, 0.283287103270552)	(39, 0.28843687539623775)	(40, 0.29526187459895376)	(41, 0.2999773285935575)	(42, 0.30534219160320764)	(43, 0.31059537280772237)	(44, 0.3161918721539495)	(45, 0.32258255322558355)	(46, 0.32930000698631734)	(47, 0.33567827896849195)	(48, 0.3407370511048081)	(49, 0.34556418690454727)	(50, 0.3501679590940157)	(51, 0.35470968583618673)	(52, 0.35935482165718674)	(53, 0.3650712755348555)	(54, 0.37269459282613165)	(55, 0.3808390918747061)	(56, 0.3882349091925583)	(57, 0.3942409084909484)	(58, 0.39958922604798586)	(59, 0.40445358911610346)	(60, 0.4093841339946716)	(61, 0.4141285425313475)	(62, 0.4198822236773948)	(63, 0.4256193593708294)	(64, 0.4323037222263379)	(65, 0.44103972120581436)
SRR28499033_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 4.136363153161214e-05)	(4, 0.00011168180513535276)	(5, 0.0010382271514434646)	(6, 0.002246045192166539)	(7, 0.002320499728923441)	(8, 0.002423908807752471)	(9, 0.002634863328563693)	(10, 0.0027548178600053683)	(11, 0.0029161360229786556)	(12, 0.0030691814596456204)	(13, 0.003197408717393618)	(14, 0.0033835450592858726)	(15, 0.003565545038024966)	(16, 0.003764090469376704)	(17, 0.003917135906043669)	(18, 0.004136363153161213)	(19, 0.004297681316134501)	(20, 0.004504499473792561)	(21, 0.004661681273612687)	(22, 0.004864363068117587)	(23, 0.005075317588928809)	(24, 0.005344181193884288)	(25, 0.0056337266146055725)	(26, 0.005840544772263634)	(27, 0.0060225447510027265)	(28, 0.006345181076949301)	(29, 0.006676090129202198)	(30, 0.007027680997220902)	(31, 0.007420635496771217)	(32, 0.007763953638483598)	(33, 0.008173453590646558)	(34, 0.008603635358575324)	(35, 0.008934544410828221)	(36, 0.009294408005153246)	(37, 0.009645998873171949)	(38, 0.010059635188488071)	(39, 0.010589089672092707)	(40, 0.011077180524165729)	(41, 0.011714180449752556)	(42, 0.012189862212366096)	(43, 0.012880634858944019)	(44, 0.018353043310576304)	(45, 0.04258799502494785)	(46, 0.04451140389116782)	(47, 0.046960130877839255)	(48, 0.048217585276400264)	(49, 0.04976872145883572)	(50, 0.05407053913812338)	(51, 0.10183726083082907)	(52, 0.13731071123233965)	(53, 0.14449143766622752)	(54, 0.19125302311271503)	(55, 0.20270247632066526)	(56, 0.20633006680598764)	(57, 0.20884497560310966)	(58, 0.21087592991131182)	(59, 0.21291929330897347)	(60, 0.2146110658386164)	(61, 0.21625733837357455)	(62, 0.21784570182438848)	(63, 0.2192603380227696)	(64, 0.22054674696340273)	(65, 0.22191174680394593)
SRR28499033_2 - illumina_universal_adapter	(1, 0.01135018049227437)	(2, 0.011573544102545075)	(3, 0.016901179843816717)	(4, 0.03371963242457021)	(5, 0.046782267262253326)	(6, 0.054566902716502726)	(7, 0.06141258373498454)	(8, 0.0671538557915723)	(9, 0.071302628034193)	(10, 0.0789590362306944)	(11, 0.08442730831917353)	(12, 0.0882162169674692)	(13, 0.09209198924198125)	(14, 0.0960339433269439)	(15, 0.09935130657577919)	(16, 0.10232948804605527)	(17, 0.10476166958011406)	(18, 0.10680089661462253)	(19, 0.1085629873178692)	(20, 0.11001071442147563)	(21, 0.11119785064643291)	(22, 0.1123188050609396)	(23, 0.11321225950202242)	(24, 0.1140974412167989)	(25, 0.11493712293689064)	(26, 0.11567339557815333)	(27, 0.11635589549842494)	(28, 0.11705907723446234)	(29, 0.11770434988635549)	(30, 0.11847371343284348)	(31, 0.1192596224319441)	(32, 0.12002898597843209)	(33, 0.12085212224591117)	(34, 0.12174144032384084)	(35, 0.1227258947542932)	(36, 0.12379721281096195)	(37, 0.12500089448853188)	(38, 0.12608875799781327)	(39, 0.12746616692781595)	(40, 0.1288146213157465)	(41, 0.13023753024043397)	(42, 0.13192930277007692)	(43, 0.1337741207363868)	(44, 0.13568098414999413)	(45, 0.13780293844756583)	(46, 0.14002002909766023)	(47, 0.14244807426856587)	(48, 0.145016755786679)	(49, 0.14794530089911712)	(50, 0.1511592550691234)	(51, 0.15471652738084202)	(52, 0.15848889057652504)	(53, 0.1628692991557228)	(54, 0.16725798046122684)	(55, 0.17249875257628208)	(56, 0.17800425193313965)	(57, 0.18381997852648432)	(58, 0.19059947773451555)	(59, 0.19780915871047555)	(60, 0.20591229412751838)	(61, 0.2143339295073546)	(62, 0.22385170112277855)	(63, 0.23445319988433075)	(64, 0.2457082440240824)	(65, 0.25781951533653846)
SRR28499033_2 - polya	(1, 0.01247940763308738)	(2, 0.017947679721566506)	(3, 0.019478134088236156)	(4, 0.023817179035902268)	(5, 0.025608224281221073)	(6, 0.027643314952576388)	(7, 0.030505678254563948)	(8, 0.037785677404127686)	(9, 0.04999208506910643)	(10, 0.06348903803787147)	(11, 0.06616526499796677)	(12, 0.06972253730968542)	(13, 0.07447521857266765)	(14, 0.08029508152916548)	(15, 0.0929937164093704)	(16, 0.10663130572534292)	(17, 0.11363416854364486)	(18, 0.1210630767667224)	(19, 0.12610530345042592)	(20, 0.13393957526251327)	(21, 0.14083902900198617)	(22, 0.14685743738983573)	(23, 0.15200307315236827)	(24, 0.15725211799372985)	(25, 0.16199239016725261)	(26, 0.1697687528951957)	(27, 0.17598984307755014)	(28, 0.1823184787018868)	(29, 0.18758406899586103)	(30, 0.1931433410737097)	(31, 0.19798288596290833)	(32, 0.20252461270507932)	(33, 0.20875397561374012)	(34, 0.21464002038068852)	(35, 0.22184556499349536)	(36, 0.22727247345044288)	(37, 0.2318969274556771)	(38, 0.23757615406496746)	(39, 0.24373933516317767)	(40, 0.25530874290256955)	(41, 0.26221233300519564)	(42, 0.2686898777030461)	(43, 0.2752584223902661)	(44, 0.2823522851979376)	(45, 0.2949020110046287)	(46, 0.30458523714617913)	(47, 0.3154721449652994)	(48, 0.32518432564892197)	(49, 0.3349378699640761)	(50, 0.34581236869373694)	(51, 0.3541554131736631)	(52, 0.3631685484844014)	(53, 0.37808427401470074)	(54, 0.39656968094617817)	(55, 0.4120769064073796)	(56, 0.42382004139920426)	(57, 0.43502544918111796)	(58, 0.4463384024050139)	(59, 0.4568116739088181)	(60, 0.4663666727926205)	(61, 0.47604162620786455)	(62, 0.4852202160447293)	(63, 0.49424989680808024)	(64, 0.5036270320762967)	(65, 0.5177237577022701)
SRR28499033_2 - polyg	(1, 0.9967932017382487)	(2, 0.9985428833520359)	(3, 0.9990723378356405)	(4, 0.999390837798434)	(5, 0.9996638377665426)	(6, 0.9999782013661829)	(7, 1.000313246781589)	(8, 1.0007930649073555)	(9, 1.0014921102802399)	(10, 1.0020918829374483)	(11, 1.0027454283156476)	(12, 1.0032955646150181)	(13, 1.0039697918089834)	(14, 1.0043544735822274)	(15, 1.004755700808084)	(16, 1.0051031553129497)	(17, 1.005396837096824)	(18, 1.0056698370649326)	(19, 1.0060090188434918)	(20, 1.0062572006326815)	(21, 1.0065715642323219)	(22, 1.0069397005529532)	(23, 1.0074195186787198)	(24, 1.0079241549834055)	(25, 1.008267473125118)	(26, 1.0087390185245784)	(27, 1.0092477911924171)	(28, 1.009682109323499)	(29, 1.0102074274439505)	(30, 1.0107492910170146)	(31, 1.011324245495304)	(32, 1.011915745426206)	(33, 1.0124906999044956)	(34, 1.013276608903596)	(35, 1.014091472444769)	(36, 1.014790517817653)	(37, 1.0155143813694563)	(38, 1.016684972141801)	(39, 1.0174708811409017)	(40, 1.0182981537715339)	(41, 1.0193074263809052)	(42, 1.0203249717165828)	(43, 1.0213094261470352)	(44, 1.0223724714773976)	(45, 1.0232866077342462)	(46, 1.024457198506591)	(47, 1.0255202438369533)	(48, 1.026744607330289)	(49, 1.0278531526553363)	(50, 1.0290692434223656)	(51, 1.0301777887474128)	(52, 1.0313442431566042)	(53, 1.0326513339130032)	(54, 1.0339542883062491)	(55, 1.0351207427154405)	(56, 1.0364816061928306)	(57, 1.0379541514753559)	(58, 1.0395052876577915)	(59, 1.0407586056931992)	(60, 1.0420574237232918)	(61, 1.0434844690111325)	(62, 1.0447626052254593)	(63, 1.0464336959393363)	(64, 1.0480427412059161)	(65, 1.0496186955672706)
SRR28499036_1 - illumina_universal_adapter	(1, 0.2686769533210304)	(2, 0.27003861111187544)	(3, 0.2734533384215592)	(4, 0.283993839662608)	(5, 0.2922766699551055)	(6, 0.29716593860306184)	(7, 0.30143434774016664)	(8, 0.30563220466012914)	(9, 0.3082779128029627)	(10, 0.31385153795719867)	(11, 0.31809878142916076)	(12, 0.3212524655354183)	(13, 0.324504922745675)	(14, 0.3274892815307912)	(15, 0.33011382400848205)	(16, 0.33240677106560446)	(17, 0.3341917421593028)	(18, 0.33597671325300116)	(19, 0.33742303370441684)	(20, 0.33867180794783425)	(21, 0.33975831209182455)	(22, 0.3408024849055295)	(23, 0.3418889890495198)	(24, 0.3429331618632248)	(25, 0.3438644511295022)	(26, 0.34477457473063694)	(27, 0.34574114010548546)	(28, 0.34700402479233133)	(29, 0.34797764538889403)	(30, 0.3508702862917254)	(31, 0.35209789487000015)	(32, 0.3536853197557002)	(33, 0.357826734901949)	(34, 0.3594141597876491)	(35, 0.3607969832436368)	(36, 0.36218686192133864)	(37, 0.3635414644904694)	(38, 0.3649031222813144)	(39, 0.36594023987330515)	(40, 0.3672242902252937)	(41, 0.3686847211201378)	(42, 0.37032153255783745)	(43, 0.3719724544389656)	(44, 0.3739267508538053)	(45, 0.37552123096121964)	(46, 0.3774120303806313)	(47, 0.37959209389032617)	(48, 0.381899151390877)	(49, 0.3840721596788576)	(50, 0.3864074380662653)	(51, 0.38903198054395616)	(52, 0.3916000812479333)	(53, 0.39463382658504903)	(54, 0.39768168236559326)	(55, 0.4012869006615611)	(56, 0.40521665915638316)	(57, 0.4097390562751999)	(58, 0.41455777270601407)	(59, 0.420921582692243)	(60, 0.4276099328773261)	(61, 0.43645718090696145)	(62, 0.4436041205034691)	(63, 0.45044768556626513)	(64, 0.4589703933970462)	(65, 0.4690805261135274)
SRR28499036_1 - polya	(1, 0.0766902600336012)	(2, 0.08325867144954258)	(3, 0.0867721718632255)	(4, 0.09477279328715409)	(5, 0.09780653862426987)	(6, 0.10086144962652831)	(7, 0.10568016605734244)	(8, 0.11204397604357136)	(9, 0.12332527556461352)	(10, 0.13575657622507398)	(11, 0.14042007777817522)	(12, 0.1444486093769964)	(13, 0.1490062826043843)	(14, 0.15357806627520063)	(15, 0.15916580187286505)	(16, 0.16560016407623618)	(17, 0.17163943386361086)	(18, 0.17625354886471253)	(19, 0.18110048618238356)	(20, 0.18745018572518402)	(21, 0.19485111330340368)	(22, 0.20459437449074527)	(23, 0.2156428516952181)	(24, 0.22462414893742363)	(25, 0.23491771741847461)	(26, 0.249183375724633)	(27, 0.2619321613622335)	(28, 0.27839904884322936)	(29, 0.28971562447284266)	(30, 0.299261339452186)	(31, 0.3059003030852696)	(32, 0.3144582870246218)	(33, 0.32485768383138613)	(34, 0.33328161855816807)	(35, 0.3462420608471953)	(36, 0.3520908396482859)	(37, 0.37952859689489815)	(38, 0.38692246925140356)	(39, 0.40063076504213835)	(40, 0.40961206228434394)	(41, 0.41557372463286213)	(42, 0.4218669824019488)	(43, 0.4272289509047581)	(44, 0.4333105520224181)	(45, 0.44073264526578043)	(46, 0.448415781712569)	(47, 0.45497008268508193)	(48, 0.46063542572160276)	(49, 0.4659409524506983)	(50, 0.4707808345466551)	(51, 0.47592409117632345)	(52, 0.4808133598242798)	(53, 0.4877133666607897)	(54, 0.4975201248435593)	(55, 0.5141704480891249)	(56, 0.5224180022730514)	(57, 0.5378759930489133)	(58, 0.5438235449540031)	(59, 0.550469563808801)	(60, 0.5582091420293033)	(61, 0.568460379180069)	(62, 0.596335560172963)	(63, 0.6076309701374336)	(64, 0.6240343606230014)	(65, 0.6578853144078421)
SRR28499036_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00019049098628401401)	(4, 0.0003527610857111371)	(5, 0.0011429459177040842)	(6, 0.00254693503883441)	(7, 0.002949082676545106)	(8, 0.0033723959793984706)	(9, 0.004021476377106962)	(10, 0.004465955345102995)	(11, 0.004945710421670141)	(12, 0.0053055267290955015)	(13, 0.005721784810234643)	(14, 0.006123932447945339)	(15, 0.006547245750798704)	(16, 0.0070199456056516275)	(17, 0.007563197677646779)	(18, 0.007937124428500584)	(19, 0.008311051179354389)	(20, 0.008861358473063763)	(21, 0.009242340445631792)	(22, 0.009658598526770933)	(23, 0.010131298381623856)	(24, 0.010519335575906107)	(25, 0.010914427991902582)	(26, 0.011358906959898614)	(27, 0.01188804858846532)	(28, 0.012438355882174693)	(29, 0.013052160171312072)	(30, 0.013750627121020122)	(31, 0.014526701509584624)	(32, 0.01513345057700778)	(33, 0.01571903397928827)	(34, 0.01636811437699676)	(35, 0.017123023100418595)	(36, 0.017948484040982655)	(37, 0.01868222709926182)	(38, 0.01948652237468321)	(39, 0.020530695188388178)	(40, 0.02158897844552159)	(41, 0.02267548258951189)	(42, 0.024820269990635604)	(43, 0.05235680034124696)	(44, 1.1008615201787455)	(45, 1.3770593398471374)	(46, 1.3935050616629905)	(47, 1.4112489442742608)	(48, 1.4203995668376077)	(49, 1.4303403742329475)	(50, 1.4746471665982663)	(51, 2.2365828908474654)	(52, 3.1904488666103803)	(53, 3.4214368255340326)	(54, 3.8561725323427236)	(55, 4.0366239381273985)	(56, 4.082623983704131)	(57, 4.095351603676589)	(58, 4.099443632270838)	(59, 4.102505598494811)	(60, 4.10505958875536)	(61, 4.107020940391913)	(62, 4.109088120354181)	(63, 4.1112258525335905)	(64, 4.113102541509574)	(65, 4.1151908871369836)
SRR28499036_2 - illumina_universal_adapter	(1, 0.2704407587495861)	(2, 0.271830637427288)	(3, 0.27534413784097095)	(4, 0.28602574351630417)	(5, 0.29459078267737054)	(6, 0.2996775975333252)	(7, 0.30396011711385834)	(8, 0.3081156427035356)	(9, 0.3107331299595122)	(10, 0.3162926446703197)	(11, 0.3205398881422818)	(12, 0.3236935722485394)	(13, 0.3269248637936534)	(14, 0.32983161513991316)	(15, 0.3324491023958898)	(16, 0.33469971812272686)	(17, 0.33651996532499634)	(18, 0.3382908259752662)	(19, 0.339708925539825)	(20, 0.3409718102266709)	(21, 0.3420583143706612)	(22, 0.343067211075795)	(23, 0.34415371521978533)	(24, 0.3451414462597765)	(25, 0.3460374594174828)	(26, 0.34688408602318954)	(27, 0.3478365409546096)	(28, 0.34894421076374255)	(29, 0.34979083736944927)	(30, 0.3513359309248641)	(31, 0.3525705947248531)	(32, 0.3540169151762687)	(33, 0.3563663040071049)	(34, 0.35775618268480674)	(35, 0.3590472882585095)	(36, 0.36039483560592606)	(37, 0.3617776590619137)	(38, 0.3631957586264725)	(39, 0.3642117105533206)	(40, 0.36550281612702334)	(41, 0.3669420813567248)	(42, 0.36848717491213956)	(43, 0.3701451520149819)	(44, 0.3722193871989634)	(45, 0.3737503703109497)	(46, 0.3757963846080743)	(47, 0.377941172009198)	(48, 0.3801424011840355)	(49, 0.38247062434972906)	(50, 0.3848482340674221)	(51, 0.38737400344111383)	(52, 0.38994915936680513)	(53, 0.39299701514734936)	(54, 0.39609425747989313)	(55, 0.3997841384364316)	(56, 0.40373506259639635)	(57, 0.40813752094607136)	(58, 0.412751635947173)	(59, 0.4179513343505552)	(60, 0.4232568610796507)	(61, 0.42950073229673785)	(62, 0.43601975716067964)	(63, 0.4427292730109055)	(64, 0.4504053542359798)	(65, 0.4588716202930471)
