Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR28499033_1	(1, 0.022605224632026032)	(2, 0.0009430907989207568)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.031581132674385864)	(7, 0.00031022723648709103)	(8, 0.0004549999468477335)	(9, 0.00031849996279341344)	(10, 1.6545452612644855e-05)	(12, 0.00010547726040561094)	(14, 0.00013443180247773944)	(16, 0.00011581816828851396)	(18, 1.2409089459483642e-05)	(20, 1.2409089459483642e-05)	(22, 4.549999468477335e-05)	(24, 4.549999468477335e-05)	(26, 0.0002812726944149625)	(28, 0.001063045330362432)	(30, 0.002570749699689694)	(32, 0.004047431345368248)	(34, 0.007776362727943081)	(36, 0.014731657369983662)	(38, 0.008057635422358043)	(40, 0.011755544081284168)	(42, 0.011052362345246763)	(44, 0.00722622642857264)	(46, 0.004512772200098884)	(48, 0.002328772455229763)	(50, 0.0024032269919866647)	(52, 0.0016772952586068721)	(54, 0.0006949090097310838)	(56, 0.0006742271939652778)	(58, 0.00021922724711754434)	(60, 4.549999468477335e-05)	(62, 2.068181576580607e-06)	(64, 2.068181576580607e-06)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 3.515908680187031e-05)	(74, 1.2409089459483642e-05)	(76, 6.20454472974182e-05)
SRR28499033_2	(1, 0.03643722301619713)	(2, 0.010001726104343814)	(3, 0.0059439538510926634)	(4, 0.003139499633249361)	(5, 0.004996726689018746)	(6, 0.005265590293974225)	(7, 0.0031767269016278123)	(8, 0.004347317673972435)	(9, 0.004405226758116693)	(10, 0.004051567708521409)	(12, 0.004442454026495144)	(14, 0.006043226566768533)	(16, 0.009743203407271238)	(18, 0.008810453516233385)	(20, 0.014053293812865223)	(22, 0.013821657476288196)	(24, 0.01486195280930824)	(26, 0.018735656902243717)	(28, 0.018417156939450303)	(30, 0.023881292664776264)	(32, 0.023984701743605296)	(34, 0.019798702232606148)	(36, 0.02419565626441652)	(38, 0.025546178833923655)	(40, 0.029190314771858687)	(42, 0.03211885988429682)	(44, 0.029213064769201068)	(46, 0.03230913258934224)	(48, 0.0336886097009215)	(50, 0.03796974556444336)	(52, 0.037895291027686455)	(54, 0.033661723340425956)	(56, 0.03498122318628438)	(58, 0.04366344944476977)	(60, 0.041448426976251944)	(62, 0.04564683557671057)	(64, 0.05288340291316611)	(66, 0.04730344901955164)	(68, 0.04934681241721328)	(70, 0.04654856274409972)	(72, 0.04633347186013533)	(74, 0.047481312635137565)	(76, 0.037781541040974524)
SRR28499036_1	(1, 0.022202782734658966)	(2, 0.0008889579359920653)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03167794549686011)	(7, 0.00033159542056846884)	(8, 0.00045858941142447817)	(9, 0.00033865064228269157)	(10, 1.0582832571334112e-05)	(12, 0.00010582832571334111)	(14, 8.466266057067289e-05)	(16, 0.0001552148777129003)	(18, 7.0552217142227405e-06)	(20, 4.2331330285336446e-05)	(22, 8.466266057067289e-05)	(24, 2.8220886856890962e-05)	(26, 0.0003492334748540257)	(28, 0.0012029153022749773)	(30, 0.0024869656542635165)	(32, 0.004046169653106742)	(34, 0.007919486374215027)	(36, 0.015373328115291353)	(38, 0.008498014554781292)	(40, 0.012269030561033347)	(42, 0.011507066615897291)	(44, 0.00767255361421723)	(46, 0.004751691824529017)	(48, 0.0026139596451195254)	(50, 0.0027762297445466486)	(52, 0.0018378852565550242)	(54, 0.0008289885514211721)	(56, 0.0009065959902776223)	(58, 0.00026104320342624143)	(60, 5.99693845708933e-05)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.4110443428445481e-05)	(74, 1.4110443428445481e-05)	(76, 1.4110443428445481e-05)
SRR28499036_2	(1, 0.03684236779167115)	(2, 0.010187740155337638)	(3, 0.006469638311942255)	(4, 0.0035628869656824844)	(5, 0.005347858059380838)	(6, 0.005594790819378634)	(7, 0.0034641138616833657)	(8, 0.004670556774815455)	(9, 0.004748164213671905)	(10, 0.004088500983392079)	(12, 0.004677611996529678)	(14, 0.006194484665087567)	(16, 0.009746788798198716)	(18, 0.009069487513633333)	(20, 0.013919952442161468)	(22, 0.013634215962735449)	(24, 0.014703082052440194)	(26, 0.018541122664977365)	(28, 0.018438821950121136)	(30, 0.0239806986066431)	(32, 0.024213520923212446)	(34, 0.020156768437534372)	(36, 0.02452747828949536)	(38, 0.02586444280434057)	(40, 0.02964251403230685)	(42, 0.0326374556499944)	(44, 0.029610765534592846)	(46, 0.03273975636485063)	(48, 0.034087303712267175)	(50, 0.038419209844799934)	(52, 0.038955406695080866)	(54, 0.034298960363693856)	(56, 0.03516322502368614)	(58, 0.044130411822463245)	(60, 0.04191154459334019)	(62, 0.046373972327586076)	(64, 0.053619685028092834)	(66, 0.0480248942087142)	(68, 0.050123822668695465)	(70, 0.04753102868871861)	(72, 0.047291151150435036)	(74, 0.0483952933487109)	(76, 0.038154639030516586)
SRR28499039_1	(1, 0.02172515118944926)	(2, 0.0008856864762133214)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.03258588160401511)	(7, 0.0003542745904853285)	(8, 0.0004686757603295492)	(9, 0.0003026095460395514)	(10, 1.4761441270222022e-05)	(12, 9.225900793888762e-05)	(14, 0.00010333008889155415)	(16, 0.00014576923254344245)	(18, 1.8451801587777525e-05)	(20, 2.7677702381666293e-05)	(22, 4.4284323810666064e-05)	(24, 4.981986428699933e-05)	(26, 0.0003155258071509957)	(28, 0.001112643635742985)	(30, 0.0025297419976842987)	(32, 0.004022492746135501)	(34, 0.00777558918908945)	(36, 0.014973636988481462)	(38, 0.00825164567005411)	(40, 0.011681835585221952)	(42, 0.011069235772507739)	(44, 0.007406553157333899)	(46, 0.004624021477897048)	(48, 0.0025924781230827424)	(50, 0.002513135376255299)	(52, 0.0018931548429059744)	(54, 0.0007343817031935456)	(56, 0.0008414021524026552)	(58, 0.0002657059428639964)	(60, 5.7200584922110335e-05)	(62, 9.225900793888763e-06)	(64, 1.4761441270222022e-05)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.6606621428999774e-05)	(74, 3.6903603175555056e-06)	(76, 2.2142161905333032e-05)
SRR28499039_2	(1, 0.036505044261259056)	(2, 0.009749931958981646)	(3, 0.006059571641426139)	(4, 0.003280730322306844)	(5, 0.0050926972382265975)	(6, 0.005303047776327261)	(7, 0.0033619182492930656)	(8, 0.004454264903289495)	(9, 0.004601879315991715)	(10, 0.004127668015185833)	(12, 0.004688602783454269)	(14, 0.005991299975551363)	(16, 0.009716718716123646)	(18, 0.009002633994676655)	(20, 0.013995691504329255)	(22, 0.013741056642417924)	(24, 0.014587994335296913)	(26, 0.01844811122745997)	(28, 0.01815288240205553)	(30, 0.02371056504029412)	(32, 0.024081446252208448)	(34, 0.019872590310036395)	(36, 0.024101743233955007)	(38, 0.02568306263002754)	(40, 0.02941770727139371)	(42, 0.032305414219880896)	(44, 0.0292276537150396)	(46, 0.032467790073853336)	(48, 0.033899649877064876)	(50, 0.03811404135971326)	(52, 0.03822475216923992)	(54, 0.033855365553254205)	(56, 0.03475765865089653)	(58, 0.0434687541804863)	(60, 0.041313583755033884)	(62, 0.045668208929749377)	(64, 0.05269280979421628)	(66, 0.047223695803599024)	(68, 0.049233096996508)	(70, 0.0464708622988177)	(72, 0.046260511760717035)	(74, 0.04743035598138213)	(76, 0.03784095469621415)
SRR28499042_1	(1, 0.02905286275121328)	(2, 0.0005355037371199302)	(3, 0.0)	(4, 0.0)	(5, 0.00040698284021114693)	(6, 0.03002390952785742)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 4.9980348797860155e-05)	(14, 3.3915236684262246e-05)	(16, 0.0)	(18, 0.0)	(20, 5.355037371199302e-06)	(22, 1.6065112113597905e-05)	(24, 2.8560199313062946e-05)	(26, 6.426044845439162e-05)	(28, 0.001208453433433976)	(30, 0.0014030197912542172)	(32, 0.00033201231701435673)	(34, 0.00031951722981489174)	(36, 0.0005158686000921995)	(38, 8.925062285332171e-05)	(40, 1.785012457066434e-05)	(42, 1.4280099656531473e-05)	(44, 0.00023383663187570287)	(46, 0.0014369350279384795)	(48, 0.00014280099656531473)	(50, 0.00024276169416103505)	(52, 0.0005604939115188603)	(54, 0.0008086106430510947)	(56, 0.0004462531142666085)	(58, 0.0014494301151379446)	(60, 0.0029292054420460185)	(62, 0.005365747445941701)	(64, 0.008062901268569083)	(66, 0.0056799096383853935)	(68, 0.00575666517403925)	(70, 0.003721750972983515)	(72, 0.0044393259807242215)	(74, 0.0031559020240934555)	(76, 0.005322907146972106)
SRR28499042_2	(1, 0.1898610649834142)	(2, 0.08166074988587523)	(3, 0.045032294266872004)	(4, 0.021138117516580714)	(5, 0.006404624695954366)	(6, 0.004073398427025603)	(7, 0.003869907006920029)	(8, 0.003498624415850211)	(9, 0.006668806539600198)	(10, 0.014990534614443912)	(12, 0.02203597878248513)	(14, 0.027107199173010868)	(16, 0.03208381390331209)	(18, 0.03717466943086555)	(20, 0.04251542670240833)	(22, 0.054284013831847326)	(24, 0.057848683708609)	(26, 0.06311268544449791)	(28, 0.07798362422431837)	(30, 0.08407230171537197)	(32, 0.08151973390176698)	(34, 0.08919171744223851)	(36, 0.09067149276914659)	(38, 0.09482878678165431)	(40, 0.10278637231525647)	(42, 0.103498592285626)	(44, 0.10116558100424017)	(46, 0.09047692641132635)	(48, 0.08807429964411492)	(50, 0.09913423682809855)	(52, 0.09843094192001438)	(54, 0.10318621510563937)	(56, 0.10596190947637767)	(58, 0.11107061512850179)	(60, 0.11771978653107426)	(62, 0.12378882888510014)	(64, 0.11990642679098064)	(66, 0.12393519990657959)	(68, 0.13002566241009025)	(70, 0.12633068662396274)	(72, 0.12341933130648738)	(74, 0.13275494645694483)	(76, 0.12783545212526976)
SRR28499045_1	(1, 0.02982433088249404)	(2, 0.0006225609344332007)	(3, 0.0)	(4, 7.32424628744942e-06)	(5, 0.0004687517623967629)	(6, 0.0303516766151904)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.5634862006072972e-05)	(14, 5.1269724012145945e-05)	(16, 0.0)	(18, 0.0)	(20, 1.098636943117413e-05)	(22, 1.831061571862355e-05)	(24, 1.831061571862355e-05)	(26, 8.789095544939304e-05)	(28, 0.0012231491300040533)	(30, 0.0013073779623097215)	(32, 0.00029663197464170155)	(34, 0.00036987443751619576)	(36, 0.0005603048409898807)	(38, 7.32424628744942e-05)	(40, 3.66212314372471e-06)	(42, 1.098636943117413e-05)	(44, 0.00023071375805465674)	(46, 0.001417241656621463)	(48, 0.00016479554146761196)	(50, 0.00028564560521052737)	(52, 0.000618898811289476)	(54, 0.0007873564759008127)	(56, 0.0005273457326963583)	(58, 0.0014392143954838111)	(60, 0.0027465923577935326)	(62, 0.004925555628309736)	(64, 0.007448758474336061)	(66, 0.005405293760137673)	(68, 0.005416280129568847)	(70, 0.0034790169865384747)	(72, 0.004317643186451434)	(74, 0.0030505485787226836)	(76, 0.004899920766303662)
SRR28499045_2	(1, 0.19345531719040154)	(2, 0.0845950446200408)	(3, 0.04632585776811759)	(4, 0.021547932577676197)	(5, 0.006430688240380591)	(6, 0.004277359831870462)	(7, 0.0039038232712105413)	(8, 0.0033252078145020367)	(9, 0.006438012486668041)	(10, 0.014502007649149854)	(12, 0.021276935465040565)	(14, 0.026348976019099288)	(16, 0.031373408972289595)	(18, 0.03624037063029974)	(20, 0.04147354460268234)	(22, 0.05290669305739089)	(24, 0.05637106155135447)	(26, 0.06178367955777959)	(28, 0.07669218287588289)	(30, 0.08259552538356713)	(32, 0.08005034979867845)	(34, 0.0877517947699315)	(36, 0.08863802857071289)	(38, 0.09353428721387283)	(40, 0.10090247897904694)	(42, 0.10162757936150445)	(44, 0.09952185855386274)	(46, 0.08871493315673111)	(48, 0.08636751222160356)	(50, 0.09744543473137082)	(52, 0.0968961162598121)	(54, 0.10127967766285059)	(56, 0.10448403541360972)	(58, 0.10943522590392551)	(60, 0.11597577783861784)	(62, 0.12222702204495593)	(64, 0.11822065932572111)	(66, 0.12222702204495593)	(68, 0.12822924187752074)	(70, 0.12448655202463407)	(72, 0.12174728391312799)	(74, 0.1313200738108244)	(76, 0.1265483273545511)
