Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR28499033_1	(1, 30.919849153453985)	(2, 30.94349012341956)	(3, 31.036551469366486)	(4, 31.09827754806485)	(5, 31.147410179597994)	(6, 34.214080039537016)	(7, 34.007540052301)	(8, 34.00388193545561)	(9, 34.10098066138544)	(10, 34.07806301724446)	(12, 34.13377769869051)	(14, 34.06038207090082)	(16, 34.07700032350496)	(18, 34.0483399802621)	(20, 34.01984771813597)	(22, 33.89718144905653)	(24, 33.829317979484216)	(26, 33.64718003235215)	(28, 33.581129427340784)	(30, 33.47261779297146)	(32, 33.30173112588868)	(34, 33.180570761860594)	(36, 33.05416106344573)	(38, 32.96597249806594)	(40, 32.89651998254289)	(42, 32.734009244027106)	(44, 32.594109893324436)	(46, 32.540032529187116)	(48, 32.38751600927654)	(50, 32.37350546477686)	(52, 32.216143381568706)	(54, 32.20663733654282)	(56, 32.05322303969167)	(58, 31.932940225788347)	(60, 31.844876268348546)	(62, 31.77007905458622)	(64, 31.66711552411423)	(66, 31.563446660997368)	(68, 31.56493337332369)	(70, 31.482885631999267)	(72, 31.349650065745422)	(74, 31.16861867848409)	(76, 28.212603026982283)
SRR28499033_2	(1, 30.777741956872873)	(2, 30.551469242396546)	(3, 30.622947210864805)	(4, 30.651368244817437)	(5, 30.69080573748315)	(6, 33.96736239881267)	(7, 33.99649798950001)	(8, 33.875878289499674)	(9, 33.96374030969034)	(10, 33.88044195964837)	(12, 33.945573588858)	(14, 33.81648727052853)	(16, 33.77679338539277)	(18, 33.71057091449239)	(20, 33.614899006350434)	(22, 33.5604086677159)	(24, 33.4229358730934)	(26, 33.315326710436835)	(28, 33.27006633526952)	(30, 33.185154824279635)	(32, 33.03088541707384)	(34, 32.891401129731776)	(36, 32.74218675125364)	(38, 32.616742355907824)	(40, 32.52817829148099)	(42, 32.39924967199674)	(44, 32.33759901988048)	(46, 32.24568152311811)	(48, 32.12987470914645)	(50, 32.06938488598549)	(52, 31.95750286019171)	(54, 31.860295244501874)	(56, 31.76599689847218)	(58, 31.622849654739838)	(60, 31.526046244457326)	(62, 31.39551070993352)	(64, 31.357323267576326)	(66, 31.315183778408077)	(68, 31.259180709722983)	(70, 31.179547859934637)	(72, 31.06857002244432)	(74, 30.92174879891389)	(76, 28.000603412656783)
SRR28499036_1	(1, 30.604213209082413)	(2, 30.796571712554183)	(3, 31.03286068286503)	(4, 31.1504826583003)	(5, 31.10018379558088)	(6, 34.14504505782072)	(7, 34.061501425966135)	(8, 34.1117860371377)	(9, 34.129009526595325)	(10, 33.94580877146083)	(12, 34.08725206804422)	(14, 34.05613183782388)	(16, 34.10002053775041)	(18, 34.09720973741946)	(20, 33.99938640736751)	(22, 33.68971667570088)	(24, 33.908128772471144)	(26, 33.66053821887682)	(28, 33.5695663910121)	(30, 33.5028102006371)	(32, 33.243988792356994)	(34, 32.93878131204406)	(36, 32.999715921497675)	(38, 32.804260775387206)	(40, 32.64717308907027)	(42, 31.79863095539202)	(44, 30.63425864682682)	(46, 30.87790959989203)	(48, 30.42311325204166)	(50, 30.108844609376714)	(52, 29.876663753565623)	(54, 30.061129086640168)	(56, 29.925289223522757)	(58, 29.64786432441772)	(60, 29.609910018407778)	(62, 29.700574238605764)	(64, 29.468194707751195)	(66, 29.251161624617193)	(68, 29.5092553926058)	(70, 29.996569257337026)	(72, 29.830401042084468)	(74, 29.05228430793813)	(76, 26.339387983504047)
SRR28499036_2	(1, 30.739177131147894)	(2, 30.528261489657858)	(3, 30.613643359530077)	(4, 30.65287053336559)	(5, 30.7060671872997)	(6, 34.01101143729047)	(7, 33.93890488425239)	(8, 33.75450911566394)	(9, 33.773312904233336)	(10, 33.6780603205935)	(12, 33.637433849359304)	(14, 33.458480372972886)	(16, 33.363934405063844)	(18, 33.249096631773654)	(20, 33.03438023651784)	(22, 32.96162199265001)	(24, 32.751827743375344)	(26, 32.447063225157734)	(28, 32.236966589080396)	(30, 32.05152946976693)	(32, 31.836833252445217)	(34, 31.55881525612677)	(36, 31.307103888633605)	(38, 31.103790460197295)	(40, 30.99577342832766)	(42, 30.88124848356828)	(44, 30.853852916547524)	(46, 30.74371385036679)	(48, 30.66837247817273)	(50, 30.674673496685703)	(52, 30.514686431729196)	(54, 30.3713955842355)	(56, 30.214591482555363)	(58, 29.99682296310987)	(60, 29.80139773113947)	(62, 29.624607526835064)	(64, 29.53829969438896)	(66, 29.45879697604731)	(68, 29.397302922787865)	(70, 29.315975935767568)	(72, 29.22976888716365)	(74, 29.114484059749543)	(76, 26.71109459718882)
SRR28499039_1	(1, 30.944500302148253)	(2, 30.98047017035626)	(3, 31.070113008058826)	(4, 31.12791921801265)	(5, 31.173598534926953)	(6, 34.264501889003185)	(7, 34.06658871395556)	(8, 34.06613590674459)	(9, 34.15842211263902)	(10, 34.12493558014771)	(12, 34.182839049547695)	(14, 34.106218921399936)	(16, 34.11749393166376)	(18, 34.0846391150516)	(20, 34.05142059497834)	(22, 33.92776104916944)	(24, 33.84994598235085)	(26, 33.67121819716672)	(28, 33.6039371900674)	(30, 33.489434590669845)	(32, 33.29482998971312)	(34, 33.19420224097131)	(36, 33.061568292424155)	(38, 32.987542672097646)	(40, 32.891030081049536)	(42, 32.770850268243066)	(44, 32.61661540448655)	(46, 32.57816419335643)	(48, 32.4090017114046)	(50, 32.40100276315729)	(52, 32.24341345413113)	(54, 32.20781920924804)	(56, 32.0170889515225)	(58, 31.928095654139433)	(60, 31.83222501972036)	(62, 31.726476305580285)	(64, 31.654366554264442)	(66, 31.545760597100298)	(68, 31.585455976307884)	(70, 31.476560288955213)	(72, 31.288429705555377)	(74, 31.11742903667757)	(76, 28.140881497917253)
SRR28499039_2	(1, 30.87672875390371)	(2, 30.675216222823956)	(3, 30.743391238162015)	(4, 30.76296933771871)	(5, 30.803221315521196)	(6, 34.1353783219009)	(7, 34.16756748977078)	(8, 34.04277153440569)	(9, 34.111332266204144)	(10, 34.037162758728854)	(12, 34.094969042489886)	(14, 33.96235393323215)	(16, 33.917643668033634)	(18, 33.84924307942117)	(20, 33.75901236732001)	(22, 33.693542884293365)	(24, 33.55997401986336)	(26, 33.448273935446366)	(28, 33.39542419307965)	(30, 33.3063335255396)	(32, 33.15611104294196)	(34, 33.015463624579645)	(36, 32.863417790304496)	(38, 32.738026653627394)	(40, 32.64207158376426)	(42, 32.51319060249745)	(44, 32.44869389845051)	(46, 32.355033882120665)	(48, 32.2412864042513)	(50, 32.175663771271466)	(52, 32.06906070181427)	(54, 31.970810246285424)	(56, 31.873595490379692)	(58, 31.73316932757022)	(60, 31.631486043518574)	(62, 31.501622337751)	(64, 31.464046332473785)	(66, 31.417686752990345)	(68, 31.358862317269505)	(70, 31.271784132373224)	(72, 31.159019951010464)	(74, 31.01365699023438)	(76, 28.04819422366351)
SRR28499042_1	(1, 31.142883392740334)	(2, 31.14590366951794)	(3, 31.21224637070375)	(4, 31.257780574773296)	(5, 31.283719983096645)	(6, 34.50959970774348)	(7, 34.381884065654326)	(8, 34.38861756104537)	(9, 34.42343119449928)	(10, 34.36744111931134)	(12, 34.41348069610773)	(14, 34.34973711586041)	(16, 34.32201385533809)	(18, 34.28502625521273)	(20, 34.22411331201957)	(22, 34.07031601396437)	(24, 33.96349426398742)	(26, 33.72919194021179)	(28, 33.573295289005834)	(30, 33.44811416825435)	(32, 33.28773197709515)	(34, 33.17751641863383)	(36, 33.04206101608121)	(38, 32.981520283685605)	(40, 32.871835909231265)	(42, 32.72746256659302)	(44, 32.55891458604722)	(46, 32.51307241377845)	(48, 32.3475380519138)	(50, 32.21846756751961)	(52, 32.0468863688559)	(54, 31.956311623761927)	(56, 31.796970451867693)	(58, 31.608693478339177)	(60, 31.426258511430273)	(62, 31.25318643466217)	(64, 31.035885479883998)	(66, 30.853824365984103)	(68, 30.755247499295724)	(70, 30.63780785261966)	(72, 30.46874171865783)	(74, 30.36050632806551)	(76, 25.578760515196006)
SRR28499042_2	(1, 30.832412534657355)	(2, 30.749083012325617)	(3, 30.837977346692508)	(4, 30.87358473948582)	(5, 30.900366173885416)	(6, 34.321940170023865)	(7, 34.39203935852507)	(8, 34.28994917676832)	(9, 34.277514779992394)	(10, 34.154865628010754)	(12, 34.175266785284315)	(14, 34.03352032052826)	(16, 33.99621718375086)	(18, 33.93364557128235)	(20, 33.86507947643014)	(22, 33.76892904857515)	(24, 33.61456024308157)	(26, 33.45318044416037)	(28, 33.3238082748108)	(30, 33.17453919635669)	(32, 33.011365013663024)	(34, 32.85296206216634)	(36, 32.73458066076806)	(38, 32.62520596812489)	(40, 32.56969825685323)	(42, 32.48326679342397)	(44, 32.42404018719925)	(46, 32.3356806425645)	(48, 32.2357991459715)	(50, 32.14889733175981)	(52, 32.04518535908507)	(54, 31.911785987430868)	(56, 31.792899891610475)	(58, 31.5945150529922)	(60, 31.42812265348956)	(62, 31.16712009553101)	(64, 30.951300576141332)	(66, 30.7120155328928)	(68, 30.457230066221463)	(70, 30.257649929711565)	(72, 30.039651731217536)	(74, 29.856162660902363)	(76, 25.156482902847234)
SRR28499045_1	(1, 31.126471935465773)	(2, 31.186429021241924)	(3, 31.251082486980053)	(4, 31.29634222745857)	(5, 31.323135345772542)	(6, 34.56445117005567)	(7, 34.444005331465355)	(8, 34.450689218899896)	(9, 34.48712368205681)	(10, 34.425405664367005)	(12, 34.47791358883527)	(14, 34.41525279416334)	(16, 34.38889136692555)	(18, 34.35329468768022)	(20, 34.29801391343122)	(22, 34.152324876905055)	(24, 34.04941379662414)	(26, 33.82669676052981)	(28, 33.67083474874393)	(30, 33.54038186569353)	(32, 33.401794821201236)	(34, 33.27493118504401)	(36, 33.17817243502331)	(38, 33.06576781318954)	(40, 32.9465850408715)	(42, 32.82706663496732)	(44, 32.606532077781736)	(46, 32.543345695196216)	(48, 32.384107681947825)	(50, 32.33946244573283)	(52, 32.15979524190594)	(54, 32.04645978161148)	(56, 31.859290535418516)	(58, 31.692815397792266)	(60, 31.504605742414167)	(62, 31.327110067747814)	(64, 31.115191937000937)	(66, 30.928559704545766)	(68, 30.901952622087492)	(70, 30.790943342413932)	(72, 30.529986196725446)	(74, 30.396964114562344)	(76, 25.63516566932405)
SRR28499045_2	(1, 29.547994540799788)	(2, 29.36208598049905)	(3, 29.661248042778286)	(4, 29.90771896456837)	(5, 30.083299751664104)	(6, 33.2536535903968)	(7, 33.50190488997444)	(8, 33.413453043744354)	(9, 33.43255848667009)	(10, 33.29539414039789)	(12, 33.36195725687055)	(14, 33.20931476402524)	(16, 33.18333445394302)	(18, 33.124890667313544)	(20, 33.060324799561016)	(22, 32.967874281070294)	(24, 32.8092538848901)	(26, 32.639040122367646)	(28, 32.51277934492234)	(30, 32.35488481817046)	(32, 32.192236892199254)	(34, 32.02335185781705)	(36, 31.903973821092983)	(38, 31.794817832078763)	(40, 31.741338199855537)	(42, 31.65249315146351)	(44, 31.591780203470492)	(46, 31.502491525480835)	(48, 31.398389998829586)	(50, 31.3202397050028)	(52, 31.215667229315265)	(54, 31.068833779306686)	(56, 30.956533015285263)	(58, 30.743950465536418)	(60, 30.562429311868016)	(62, 30.27892476695347)	(64, 30.05668897046146)	(66, 29.817885655624778)	(68, 29.562743668518678)	(70, 29.36505702438432)	(72, 29.14641417352985)	(74, 28.973570860105283)	(76, 24.29440320649643)
