Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR28499033_1	(0.0, 371.0)	(1.0, 337.0)	(2.0, 327.5)	(3.0, 317.5)	(4.0, 283.0)	(5.0, 265.0)	(6.0, 270.0)	(7.0, 329.5)	(8.0, 366.0)	(9.0, 414.0)	(10.0, 636.0)	(11.0, 1031.0)	(12.0, 1252.0)	(13.0, 1587.0)	(14.0, 2472.0)	(15.0, 3940.5)	(16.0, 6653.5)	(17.0, 8448.0)	(18.0, 10832.5)	(19.0, 17193.5)	(20.0, 27549.0)	(21.0, 33928.0)	(22.0, 43091.5)	(23.0, 64982.5)	(24.0, 93909.0)	(25.0, 110108.0)	(26.0, 131836.0)	(27.0, 181204.0)	(28.0, 239473.0)	(29.0, 270102.0)	(30.0, 307894.0)	(31.0, 381223.5)	(32.0, 458216.0)	(33.0, 499671.0)	(34.0, 538580.5)	(35.0, 611544.5)	(36.0, 677267.0)	(37.0, 708935.0)	(38.0, 744020.5)	(39.0, 806775.5)	(40.0, 853944.5)	(41.0, 890171.0)	(42.0, 906898.0)	(43.0, 925670.5)	(44.0, 951694.0)	(45.0, 959181.5)	(46.0, 959418.0)	(47.0, 960123.0)	(48.0, 969297.0)	(49.0, 949120.0)	(50.0, 920474.0)	(51.0, 912690.0)	(52.0, 892471.0)	(53.0, 878311.5)	(54.0, 876587.0)	(55.0, 897241.5)	(56.0, 947875.0)	(57.0, 956790.5)	(58.0, 935727.0)	(59.0, 889035.5)	(60.0, 808535.0)	(61.0, 747138.0)	(62.0, 719550.0)	(63.0, 656171.5)	(64.0, 539481.0)	(65.0, 464671.0)	(66.0, 398123.0)	(67.0, 353073.0)	(68.0, 324321.5)	(69.0, 263512.5)	(70.0, 200973.0)	(71.0, 170491.0)	(72.0, 146779.0)	(73.0, 106726.5)	(74.0, 78962.0)	(75.0, 67538.0)	(76.0, 59378.5)	(77.0, 45814.5)	(78.0, 35921.0)	(79.0, 31432.0)	(80.0, 27671.0)	(81.0, 20986.5)	(82.0, 15923.5)	(83.0, 13784.0)	(84.0, 12186.5)	(85.0, 9277.0)	(86.0, 6913.0)	(87.0, 5861.0)	(88.0, 5141.5)	(89.0, 3812.5)	(90.0, 2809.0)	(91.0, 2062.0)	(92.0, 1709.0)	(93.0, 1589.0)	(94.0, 1240.5)	(95.0, 812.5)	(96.0, 613.0)	(97.0, 463.5)	(98.0, 257.0)	(99.0, 149.5)	(100.0, 99.0)
SRR28499033_2	(0.0, 478.0)	(1.0, 379.0)	(2.0, 291.0)	(3.0, 370.5)	(4.0, 439.0)	(5.0, 540.0)	(6.0, 717.0)	(7.0, 958.5)	(8.0, 1124.0)	(9.0, 1234.0)	(10.0, 1581.5)	(11.0, 2024.5)	(12.0, 2230.0)	(13.0, 2651.5)	(14.0, 3583.0)	(15.0, 4997.0)	(16.0, 7265.5)	(17.0, 8630.0)	(18.0, 10959.0)	(19.0, 16445.0)	(20.0, 24485.5)	(21.0, 29369.0)	(22.0, 36642.0)	(23.0, 54289.0)	(24.0, 79226.0)	(25.0, 93789.0)	(26.0, 112820.5)	(27.0, 156668.0)	(28.0, 211656.0)	(29.0, 241828.0)	(30.0, 276740.5)	(31.0, 354608.0)	(32.0, 439628.0)	(33.0, 481693.0)	(34.0, 519331.0)	(35.0, 594920.5)	(36.0, 668713.5)	(37.0, 704555.0)	(38.0, 735946.0)	(39.0, 796302.5)	(40.0, 846883.5)	(41.0, 883191.5)	(42.0, 897884.0)	(43.0, 915024.5)	(44.0, 936683.0)	(45.0, 937864.5)	(46.0, 934528.0)	(47.0, 934213.5)	(48.0, 928412.0)	(49.0, 908144.0)	(50.0, 893363.0)	(51.0, 886282.0)	(52.0, 870528.0)	(53.0, 858710.5)	(54.0, 855566.0)	(55.0, 864814.0)	(56.0, 874989.5)	(57.0, 856370.0)	(58.0, 836823.0)	(59.0, 824457.0)	(60.0, 820858.0)	(61.0, 827050.5)	(62.0, 824476.0)	(63.0, 774816.0)	(64.0, 633374.5)	(65.0, 503388.0)	(66.0, 411767.5)	(67.0, 358352.0)	(68.0, 325336.0)	(69.0, 269174.0)	(70.0, 212600.5)	(71.0, 179173.0)	(72.0, 158994.0)	(73.0, 123079.5)	(74.0, 96612.5)	(75.0, 85881.0)	(76.0, 77105.0)	(77.0, 62806.5)	(78.0, 51555.5)	(79.0, 45827.0)	(80.0, 41650.0)	(81.0, 34713.5)	(82.0, 29514.5)	(83.0, 27075.0)	(84.0, 25237.5)	(85.0, 21897.0)	(86.0, 19282.5)	(87.0, 18171.0)	(88.0, 17692.5)	(89.0, 16864.5)	(90.0, 16320.5)	(91.0, 16035.0)	(92.0, 15944.0)	(93.0, 16134.0)	(94.0, 16537.0)	(95.0, 17517.5)	(96.0, 18285.0)	(97.0, 18997.0)	(98.0, 21564.0)	(99.0, 33140.5)	(100.0, 42862.0)
SRR28499036_1	(0.0, 10263.0)	(1.0, 6582.0)	(2.0, 4621.5)	(3.0, 3939.0)	(4.0, 1536.0)	(5.0, 1185.5)	(6.0, 716.0)	(7.0, 555.5)	(8.0, 514.0)	(9.0, 497.5)	(10.0, 579.0)	(11.0, 878.0)	(12.0, 1079.0)	(13.0, 1352.0)	(14.0, 2140.5)	(15.0, 3544.0)	(16.0, 5972.5)	(17.0, 7513.0)	(18.0, 9911.5)	(19.0, 15598.5)	(20.0, 24223.5)	(21.0, 29560.0)	(22.0, 36349.0)	(23.0, 51936.5)	(24.0, 72174.0)	(25.0, 83613.0)	(26.0, 96932.5)	(27.0, 125804.5)	(28.0, 158438.0)	(29.0, 175519.0)	(30.0, 192510.5)	(31.0, 226711.5)	(32.0, 262806.0)	(33.0, 281691.0)	(34.0, 297911.5)	(35.0, 326757.0)	(36.0, 350331.5)	(37.0, 361281.0)	(38.0, 372549.0)	(39.0, 392187.5)	(40.0, 407399.5)	(41.0, 421602.0)	(42.0, 428963.0)	(43.0, 436105.0)	(44.0, 448802.0)	(45.0, 461121.5)	(46.0, 467886.0)	(47.0, 476080.0)	(48.0, 495927.0)	(49.0, 512359.5)	(50.0, 517139.0)	(51.0, 531786.5)	(52.0, 559660.5)	(53.0, 585847.0)	(54.0, 598807.0)	(55.0, 625476.0)	(56.0, 682129.5)	(57.0, 695671.0)	(58.0, 679228.0)	(59.0, 646853.5)	(60.0, 570720.0)	(61.0, 499934.5)	(62.0, 472908.0)	(63.0, 416335.0)	(64.0, 322408.0)	(65.0, 271394.5)	(66.0, 230332.0)	(67.0, 202929.0)	(68.0, 183636.5)	(69.0, 147827.5)	(70.0, 116250.0)	(71.0, 101189.0)	(72.0, 87688.5)	(73.0, 64806.0)	(74.0, 48846.5)	(75.0, 42269.0)	(76.0, 37690.0)	(77.0, 30031.0)	(78.0, 24082.5)	(79.0, 21214.0)	(80.0, 18917.5)	(81.0, 14809.5)	(82.0, 11756.5)	(83.0, 10515.0)	(84.0, 9376.5)	(85.0, 7187.0)	(86.0, 5528.0)	(87.0, 4920.0)	(88.0, 4351.0)	(89.0, 3345.5)	(90.0, 2541.0)	(91.0, 1914.0)	(92.0, 1655.0)	(93.0, 1504.5)	(94.0, 1132.0)	(95.0, 781.0)	(96.0, 652.0)	(97.0, 542.0)	(98.0, 344.5)	(99.0, 183.5)	(100.0, 110.0)
SRR28499036_2	(0.0, 8410.0)	(1.0, 5934.5)	(2.0, 4182.0)	(3.0, 3995.5)	(4.0, 3086.0)	(5.0, 2751.0)	(6.0, 2030.5)	(7.0, 1584.5)	(8.0, 1524.0)	(9.0, 1628.0)	(10.0, 2018.5)	(11.0, 2683.5)	(12.0, 3062.0)	(13.0, 3582.0)	(14.0, 5032.0)	(15.0, 6930.0)	(16.0, 9713.5)	(17.0, 11529.0)	(18.0, 14254.5)	(19.0, 20606.5)	(20.0, 29273.5)	(21.0, 34314.0)	(22.0, 40521.5)	(23.0, 54874.0)	(24.0, 72549.5)	(25.0, 82080.0)	(26.0, 93653.0)	(27.0, 117982.0)	(28.0, 144901.5)	(29.0, 159065.0)	(30.0, 174601.0)	(31.0, 209400.5)	(32.0, 243668.0)	(33.0, 258672.0)	(34.0, 272438.0)	(35.0, 297835.5)	(36.0, 322488.0)	(37.0, 335509.0)	(38.0, 347241.5)	(39.0, 368042.0)	(40.0, 386345.5)	(41.0, 401835.0)	(42.0, 408089.0)	(43.0, 413351.0)	(44.0, 421255.0)	(45.0, 422902.0)	(46.0, 421907.0)	(47.0, 421950.5)	(48.0, 419482.0)	(49.0, 414518.0)	(50.0, 412066.0)	(51.0, 410599.0)	(52.0, 408701.0)	(53.0, 410215.0)	(54.0, 412160.0)	(55.0, 429727.0)	(56.0, 475169.0)	(57.0, 486996.0)	(58.0, 470948.0)	(59.0, 456864.0)	(60.0, 458558.0)	(61.0, 466601.5)	(62.0, 458867.0)	(63.0, 435021.0)	(64.0, 357540.5)	(65.0, 280085.0)	(66.0, 232513.0)	(67.0, 208762.0)	(68.0, 193343.0)	(69.0, 170396.5)	(70.0, 143268.0)	(71.0, 123667.0)	(72.0, 112717.5)	(73.0, 92629.0)	(74.0, 77872.0)	(75.0, 72254.0)	(76.0, 68463.0)	(77.0, 62964.0)	(78.0, 59438.0)	(79.0, 57620.0)	(80.0, 57486.5)	(81.0, 57942.0)	(82.0, 59980.0)	(83.0, 61429.0)	(84.0, 63544.0)	(85.0, 67940.5)	(86.0, 72957.0)	(87.0, 75692.0)	(88.0, 78951.5)	(89.0, 85743.0)	(90.0, 92339.5)	(91.0, 98964.5)	(92.0, 102525.0)	(93.0, 106368.5)	(94.0, 114067.5)	(95.0, 123340.0)	(96.0, 128757.0)	(97.0, 135457.5)	(98.0, 151809.5)	(99.0, 207908.5)	(100.0, 254356.0)
SRR28499039_1	(0.0, 1018.0)	(1.0, 787.0)	(2.0, 592.5)	(3.0, 561.5)	(4.0, 494.0)	(5.0, 457.5)	(6.0, 398.0)	(7.0, 399.5)	(8.0, 424.0)	(9.0, 513.0)	(10.0, 682.5)	(11.0, 952.0)	(12.0, 1141.0)	(13.0, 1439.0)	(14.0, 2377.5)	(15.0, 4055.5)	(16.0, 6798.0)	(17.0, 8503.0)	(18.0, 11170.5)	(19.0, 18345.5)	(20.0, 29418.5)	(21.0, 35984.0)	(22.0, 45568.0)	(23.0, 68401.0)	(24.0, 97965.5)	(25.0, 114281.0)	(26.0, 135572.5)	(27.0, 183076.0)	(28.0, 238726.0)	(29.0, 268164.0)	(30.0, 304254.0)	(31.0, 373863.0)	(32.0, 448116.0)	(33.0, 488850.0)	(34.0, 527740.0)	(35.0, 601135.5)	(36.0, 669833.0)	(37.0, 704025.0)	(38.0, 741723.5)	(39.0, 811421.0)	(40.0, 867152.0)	(41.0, 914791.0)	(42.0, 938698.0)	(43.0, 964998.0)	(44.0, 1008301.0)	(45.0, 1036583.0)	(46.0, 1047862.0)	(47.0, 1057738.0)	(48.0, 1084561.0)	(49.0, 1076060.0)	(50.0, 1050612.0)	(51.0, 1045764.0)	(52.0, 1026880.0)	(53.0, 1010157.5)	(54.0, 1007471.0)	(55.0, 1030708.5)	(56.0, 1096230.5)	(57.0, 1112464.0)	(58.0, 1086413.0)	(59.0, 1041287.5)	(60.0, 960574.0)	(61.0, 906114.5)	(62.0, 887243.0)	(63.0, 813547.0)	(64.0, 685463.5)	(65.0, 605220.0)	(66.0, 523068.5)	(67.0, 466773.0)	(68.0, 429264.0)	(69.0, 351198.0)	(70.0, 273216.0)	(71.0, 235791.0)	(72.0, 204573.5)	(73.0, 151797.5)	(74.0, 113897.5)	(75.0, 97556.0)	(76.0, 86283.5)	(77.0, 67356.5)	(78.0, 53164.0)	(79.0, 46626.0)	(80.0, 41136.0)	(81.0, 31709.0)	(82.0, 24674.5)	(83.0, 21577.0)	(84.0, 19124.0)	(85.0, 14458.0)	(86.0, 10911.5)	(87.0, 9578.0)	(88.0, 8298.5)	(89.0, 6265.5)	(90.0, 4725.5)	(91.0, 3363.5)	(92.0, 2788.0)	(93.0, 2632.5)	(94.0, 2088.5)	(95.0, 1363.0)	(96.0, 1026.0)	(97.0, 806.5)	(98.0, 456.5)	(99.0, 254.5)	(100.0, 183.0)
SRR28499039_2	(0.0, 1594.0)	(1.0, 1154.0)	(2.0, 663.0)	(3.0, 623.5)	(4.0, 635.0)	(5.0, 692.5)	(6.0, 838.5)	(7.0, 984.0)	(8.0, 1041.0)	(9.0, 1198.0)	(10.0, 1527.0)	(11.0, 1835.5)	(12.0, 1972.0)	(13.0, 2307.0)	(14.0, 3083.0)	(15.0, 4244.0)	(16.0, 6038.5)	(17.0, 7113.0)	(18.0, 8882.0)	(19.0, 13098.5)	(20.0, 19074.0)	(21.0, 22602.0)	(22.0, 28256.0)	(23.0, 41619.0)	(24.0, 59985.5)	(25.0, 70643.0)	(26.0, 85144.5)	(27.0, 118008.0)	(28.0, 159670.0)	(29.0, 182970.0)	(30.0, 212175.0)	(31.0, 279154.0)	(32.0, 351720.5)	(33.0, 386513.0)	(34.0, 426162.0)	(35.0, 505265.5)	(36.0, 584130.0)	(37.0, 623540.0)	(38.0, 662585.0)	(39.0, 739724.5)	(40.0, 811156.0)	(41.0, 871978.0)	(42.0, 899463.0)	(43.0, 926044.5)	(44.0, 972822.0)	(45.0, 1003181.5)	(46.0, 1013345.0)	(47.0, 1026567.5)	(48.0, 1043521.0)	(49.0, 1040942.5)	(50.0, 1034633.0)	(51.0, 1035688.0)	(52.0, 1035195.5)	(53.0, 1035629.5)	(54.0, 1037611.0)	(55.0, 1057680.0)	(56.0, 1092930.5)	(57.0, 1083634.0)	(58.0, 1059156.0)	(59.0, 1044568.0)	(60.0, 1038236.0)	(61.0, 1040653.0)	(62.0, 1034814.0)	(63.0, 977610.5)	(64.0, 823919.5)	(65.0, 678953.0)	(66.0, 567172.0)	(67.0, 503870.0)	(68.0, 460703.0)	(69.0, 385772.5)	(70.0, 310512.5)	(71.0, 267016.0)	(72.0, 238154.5)	(73.0, 186888.0)	(74.0, 148274.5)	(75.0, 132066.0)	(76.0, 118246.0)	(77.0, 95954.5)	(78.0, 79053.5)	(79.0, 70624.0)	(80.0, 64356.5)	(81.0, 53398.5)	(82.0, 44955.0)	(83.0, 41202.0)	(84.0, 38579.0)	(85.0, 33509.5)	(86.0, 29628.5)	(87.0, 28194.0)	(88.0, 26656.5)	(89.0, 24534.0)	(90.0, 23344.5)	(91.0, 22590.5)	(92.0, 22441.0)	(93.0, 22258.0)	(94.0, 22172.0)	(95.0, 22699.5)	(96.0, 23130.0)	(97.0, 24084.5)	(98.0, 26711.0)	(99.0, 40029.0)	(100.0, 51675.0)
SRR28499042_1	(0.0, 1080.0)	(1.0, 839.5)	(2.0, 622.0)	(3.0, 585.0)	(4.0, 525.0)	(5.0, 518.0)	(6.0, 539.5)	(7.0, 638.5)	(8.0, 709.0)	(9.0, 850.0)	(10.0, 1171.5)	(11.0, 1713.0)	(12.0, 2074.0)	(13.0, 2529.5)	(14.0, 3982.0)	(15.0, 6419.5)	(16.0, 10173.0)	(17.0, 12486.0)	(18.0, 15988.0)	(19.0, 25096.5)	(20.0, 38676.0)	(21.0, 46649.0)	(22.0, 58156.5)	(23.0, 85294.0)	(24.0, 119961.5)	(25.0, 138999.0)	(26.0, 163253.5)	(27.0, 216683.5)	(28.0, 280216.5)	(29.0, 314574.0)	(30.0, 352477.5)	(31.0, 428826.0)	(32.0, 510370.5)	(33.0, 553470.0)	(34.0, 595374.0)	(35.0, 675536.0)	(36.0, 751881.0)	(37.0, 789968.0)	(38.0, 827523.5)	(39.0, 897142.0)	(40.0, 952691.0)	(41.0, 994581.5)	(42.0, 1012986.0)	(43.0, 1034759.0)	(44.0, 1071910.0)	(45.0, 1091048.5)	(46.0, 1094809.0)	(47.0, 1094956.5)	(48.0, 1100930.0)	(49.0, 1082381.0)	(50.0, 1058006.0)	(51.0, 1056396.0)	(52.0, 1045503.0)	(53.0, 1039765.5)	(54.0, 1043311.0)	(55.0, 1064126.5)	(56.0, 1116155.5)	(57.0, 1119711.5)	(58.0, 1092054.0)	(59.0, 1045077.0)	(60.0, 954612.5)	(61.0, 873215.0)	(62.0, 835305.0)	(63.0, 763251.5)	(64.0, 637571.0)	(65.0, 550844.0)	(66.0, 469743.5)	(67.0, 421743.0)	(68.0, 389007.0)	(69.0, 316992.5)	(70.0, 244241.5)	(71.0, 210769.0)	(72.0, 184489.5)	(73.0, 138884.0)	(74.0, 105482.0)	(75.0, 91406.0)	(76.0, 82054.0)	(77.0, 65368.5)	(78.0, 52575.0)	(79.0, 47115.0)	(80.0, 41958.5)	(81.0, 33487.5)	(82.0, 27150.0)	(83.0, 24127.0)	(84.0, 21655.5)	(85.0, 17142.5)	(86.0, 13646.0)	(87.0, 12191.0)	(88.0, 10918.0)	(89.0, 8732.5)	(90.0, 6897.0)	(91.0, 5319.5)	(92.0, 4665.0)	(93.0, 4169.0)	(94.0, 3136.0)	(95.0, 2170.5)	(96.0, 1742.0)	(97.0, 1379.0)	(98.0, 789.0)	(99.0, 419.0)	(100.0, 276.0)
SRR28499042_2	(0.0, 1466.0)	(1.0, 1170.0)	(2.0, 1069.5)	(3.0, 1493.0)	(4.0, 1721.0)	(5.0, 2003.0)	(6.0, 2501.5)	(7.0, 2834.5)	(8.0, 2951.0)	(9.0, 3142.5)	(10.0, 3593.5)	(11.0, 4141.0)	(12.0, 4429.0)	(13.0, 4876.5)	(14.0, 6016.5)	(15.0, 7621.0)	(16.0, 9976.0)	(17.0, 11419.0)	(18.0, 13767.5)	(19.0, 19230.0)	(20.0, 26931.0)	(21.0, 31518.0)	(22.0, 38524.0)	(23.0, 54865.0)	(24.0, 77347.5)	(25.0, 90495.0)	(26.0, 108232.0)	(27.0, 147659.5)	(28.0, 197025.5)	(29.0, 224701.0)	(30.0, 259422.5)	(31.0, 337146.0)	(32.0, 419669.0)	(33.0, 459190.0)	(34.0, 502398.0)	(35.0, 590094.0)	(36.0, 676275.5)	(37.0, 717969.0)	(38.0, 760044.0)	(39.0, 841510.5)	(40.0, 910112.0)	(41.0, 965239.0)	(42.0, 991156.0)	(43.0, 1017944.5)	(44.0, 1061775.5)	(45.0, 1088097.5)	(46.0, 1097377.0)	(47.0, 1102815.5)	(48.0, 1109766.5)	(49.0, 1097841.0)	(50.0, 1084403.0)	(51.0, 1079079.5)	(52.0, 1066774.0)	(53.0, 1057711.5)	(54.0, 1055631.0)	(55.0, 1069120.0)	(56.0, 1086809.5)	(57.0, 1064732.5)	(58.0, 1038455.0)	(59.0, 1014006.5)	(60.0, 984895.0)	(61.0, 960234.0)	(62.0, 940236.0)	(63.0, 880965.0)	(64.0, 734637.5)	(65.0, 600378.5)	(66.0, 499037.5)	(67.0, 444899.0)	(68.0, 406617.0)	(69.0, 338488.5)	(70.0, 269598.5)	(71.0, 230555.0)	(72.0, 205524.5)	(73.0, 161399.0)	(74.0, 129832.0)	(75.0, 117360.0)	(76.0, 106633.0)	(77.0, 89057.0)	(78.0, 74001.0)	(79.0, 65794.0)	(80.0, 60154.5)	(81.0, 50327.5)	(82.0, 42671.0)	(83.0, 39202.0)	(84.0, 36681.0)	(85.0, 31962.5)	(86.0, 28691.5)	(87.0, 27618.0)	(88.0, 26599.0)	(89.0, 25122.0)	(90.0, 24652.5)	(91.0, 24887.5)	(92.0, 25134.0)	(93.0, 25814.5)	(94.0, 28030.0)	(95.0, 31138.0)	(96.0, 32711.0)	(97.0, 35901.5)	(98.0, 44994.0)	(99.0, 82197.0)	(100.0, 113498.0)
SRR28499045_1	(0.0, 4312.0)	(1.0, 2964.5)	(2.0, 1704.5)	(3.0, 1557.5)	(4.0, 1323.0)	(5.0, 1148.0)	(6.0, 932.0)	(7.0, 896.5)	(8.0, 902.0)	(9.0, 951.5)	(10.0, 1168.0)	(11.0, 1631.0)	(12.0, 1927.0)	(13.0, 2309.0)	(14.0, 3490.5)	(15.0, 5648.5)	(16.0, 9139.5)	(17.0, 11272.0)	(18.0, 14415.5)	(19.0, 22594.0)	(20.0, 34923.5)	(21.0, 42218.0)	(22.0, 51848.5)	(23.0, 73816.0)	(24.0, 101274.0)	(25.0, 116395.0)	(26.0, 134234.0)	(27.0, 172065.0)	(28.0, 213987.0)	(29.0, 235917.0)	(30.0, 258447.5)	(31.0, 302095.0)	(32.0, 344511.0)	(33.0, 365810.0)	(34.0, 386250.5)	(35.0, 421853.0)	(36.0, 450499.0)	(37.0, 463983.0)	(38.0, 475065.0)	(39.0, 496097.0)	(40.0, 510128.5)	(41.0, 515796.0)	(42.0, 517382.0)	(43.0, 519943.5)	(44.0, 522192.5)	(45.0, 518419.0)	(46.0, 514958.0)	(47.0, 511064.5)	(48.0, 505162.5)	(49.0, 494551.0)	(50.0, 485948.0)	(51.0, 479394.0)	(52.0, 466229.0)	(53.0, 453348.5)	(54.0, 447079.0)	(55.0, 449552.5)	(56.0, 459859.0)	(57.0, 454713.0)	(58.0, 441734.0)	(59.0, 424743.5)	(60.0, 384699.0)	(61.0, 346819.5)	(62.0, 331994.0)	(63.0, 301669.0)	(64.0, 251050.0)	(65.0, 217226.0)	(66.0, 184068.5)	(67.0, 164441.0)	(68.0, 149195.5)	(69.0, 119480.5)	(70.0, 92633.0)	(71.0, 80255.0)	(72.0, 70376.5)	(73.0, 53288.0)	(74.0, 40771.0)	(75.0, 35464.0)	(76.0, 32465.5)	(77.0, 26643.0)	(78.0, 21643.0)	(79.0, 19467.0)	(80.0, 17487.0)	(81.0, 14134.5)	(82.0, 11632.5)	(83.0, 10503.0)	(84.0, 9368.5)	(85.0, 7532.5)	(86.0, 6110.0)	(87.0, 5389.0)	(88.0, 4842.0)	(89.0, 3865.0)	(90.0, 3098.5)	(91.0, 2468.0)	(92.0, 2174.0)	(93.0, 1937.5)	(94.0, 1485.5)	(95.0, 1073.0)	(96.0, 876.0)	(97.0, 702.5)	(98.0, 417.5)	(99.0, 241.5)	(100.0, 177.0)
SRR28499045_2	(0.0, 6343.0)	(1.0, 4512.0)	(2.0, 2696.5)	(3.0, 2680.5)	(4.0, 2649.0)	(5.0, 2643.5)	(6.0, 2600.5)	(7.0, 2576.5)	(8.0, 2590.0)	(9.0, 2723.5)	(10.0, 2956.0)	(11.0, 3407.5)	(12.0, 3760.0)	(13.0, 4268.0)	(14.0, 5680.5)	(15.0, 7854.5)	(16.0, 11105.0)	(17.0, 13086.0)	(18.0, 16427.0)	(19.0, 24110.0)	(20.0, 34834.5)	(21.0, 41217.0)	(22.0, 49986.5)	(23.0, 69683.0)	(24.0, 93977.0)	(25.0, 107344.0)	(26.0, 123392.0)	(27.0, 156785.5)	(28.0, 194111.5)	(29.0, 214092.0)	(30.0, 235544.0)	(31.0, 279039.0)	(32.0, 319590.0)	(33.0, 338098.0)	(34.0, 358442.0)	(35.0, 392562.0)	(36.0, 422510.0)	(37.0, 438682.0)	(38.0, 450906.5)	(39.0, 472978.0)	(40.0, 491533.5)	(41.0, 504120.5)	(42.0, 507999.0)	(43.0, 509999.5)	(44.0, 512943.0)	(45.0, 508978.0)	(46.0, 504070.0)	(47.0, 499286.5)	(48.0, 487471.5)	(49.0, 473689.0)	(50.0, 466938.0)	(51.0, 461031.5)	(52.0, 450663.0)	(53.0, 441931.5)	(54.0, 437662.0)	(55.0, 442351.0)	(56.0, 452436.5)	(57.0, 441744.0)	(58.0, 425655.0)	(59.0, 409447.0)	(60.0, 388974.0)	(61.0, 369588.0)	(62.0, 354467.0)	(63.0, 333459.0)	(64.0, 277585.5)	(65.0, 222041.0)	(66.0, 182439.0)	(67.0, 163516.0)	(68.0, 150065.0)	(69.0, 127764.5)	(70.0, 105204.0)	(71.0, 91493.0)	(72.0, 82021.5)	(73.0, 64868.5)	(74.0, 52066.5)	(75.0, 46946.0)	(76.0, 42897.0)	(77.0, 36061.0)	(78.0, 30252.0)	(79.0, 27230.0)	(80.0, 24833.0)	(81.0, 20353.5)	(82.0, 16614.5)	(83.0, 14958.0)	(84.0, 13905.0)	(85.0, 11857.0)	(86.0, 10188.0)	(87.0, 9514.0)	(88.0, 9029.5)	(89.0, 8066.0)	(90.0, 7526.0)	(91.0, 7480.0)	(92.0, 7495.0)	(93.0, 7786.0)	(94.0, 8749.0)	(95.0, 10654.5)	(96.0, 11888.0)	(97.0, 14616.5)	(98.0, 24225.5)	(99.0, 83142.0)	(100.0, 135178.0)
