Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR28499033_1	(16.0, 2.0)	(17.0, 25.0)	(18.0, 403.0)	(19.0, 3070.0)	(20.0, 14254.0)	(21.0, 41412.0)	(22.0, 85637.0)	(23.0, 148611.0)	(24.0, 235482.0)	(25.0, 365650.0)	(26.0, 536091.0)	(27.0, 696221.0)	(28.0, 877728.0)	(29.0, 1126336.0)	(30.0, 1432939.0)	(31.0, 1834379.0)	(32.0, 2436738.0)	(33.0, 3544471.0)	(34.0, 5813532.0)	(35.0, 4982846.0)														
SRR28499033_2	(2.0, 40.0)	(3.0, 24.0)	(4.0, 25.0)	(5.0, 93.0)	(6.0, 400.0)	(7.0, 497.0)	(8.0, 471.0)	(9.0, 820.0)	(10.0, 453.0)	(11.0, 512.0)	(12.0, 471.0)	(13.0, 539.0)	(14.0, 641.0)	(15.0, 959.0)	(16.0, 3549.0)	(17.0, 12174.0)	(18.0, 29076.0)	(19.0, 55042.0)	(20.0, 91427.0)	(21.0, 132925.0)	(22.0, 178417.0)	(23.0, 237545.0)	(24.0, 312463.0)	(25.0, 412798.0)	(26.0, 537092.0)	(27.0, 689819.0)	(28.0, 872627.0)	(29.0, 1101116.0)	(30.0, 1386383.0)	(31.0, 1786251.0)	(32.0, 2417233.0)	(33.0, 3585732.0)	(34.0, 5840324.0)	(35.0, 4487889.0)
SRR28499036_1	(16.0, 13.0)	(17.0, 25.0)	(18.0, 394.0)	(19.0, 2897.0)	(20.0, 14582.0)	(21.0, 48873.0)	(22.0, 119944.0)	(23.0, 228082.0)	(24.0, 341551.0)	(25.0, 520111.0)	(26.0, 810416.0)	(27.0, 806079.0)	(28.0, 555902.0)	(29.0, 601521.0)	(30.0, 747484.0)	(31.0, 944555.0)	(32.0, 1247240.0)	(33.0, 1798838.0)	(34.0, 2922392.0)	(35.0, 2463000.0)														
SRR28499036_2	(2.0, 26.0)	(3.0, 18.0)	(4.0, 18.0)	(5.0, 45.0)	(6.0, 220.0)	(7.0, 292.0)	(8.0, 300.0)	(9.0, 490.0)	(10.0, 276.0)	(11.0, 287.0)	(12.0, 291.0)	(13.0, 363.0)	(14.0, 484.0)	(15.0, 2061.0)	(16.0, 16686.0)	(17.0, 65876.0)	(18.0, 145226.0)	(19.0, 221785.0)	(20.0, 272528.0)	(21.0, 295745.0)	(22.0, 299893.0)	(23.0, 299019.0)	(24.0, 302231.0)	(25.0, 316675.0)	(26.0, 344544.0)	(27.0, 393083.0)	(28.0, 462570.0)	(29.0, 557526.0)	(30.0, 691113.0)	(31.0, 885026.0)	(32.0, 1197329.0)	(33.0, 1802408.0)	(34.0, 3059647.0)	(35.0, 2539818.0)
SRR28499039_1	(16.0, 1.0)	(17.0, 30.0)	(18.0, 363.0)	(19.0, 2503.0)	(20.0, 11566.0)	(21.0, 35399.0)	(22.0, 78995.0)	(23.0, 147927.0)	(24.0, 248749.0)	(25.0, 389326.0)	(26.0, 576387.0)	(27.0, 798528.0)	(28.0, 1036899.0)	(29.0, 1302637.0)	(30.0, 1635507.0)	(31.0, 2074976.0)	(32.0, 2738262.0)	(33.0, 3960235.0)	(34.0, 6463418.0)	(35.0, 5595917.0)														
SRR28499039_2	(2.0, 62.0)	(3.0, 27.0)	(4.0, 24.0)	(5.0, 94.0)	(6.0, 427.0)	(7.0, 509.0)	(8.0, 516.0)	(9.0, 921.0)	(10.0, 508.0)	(11.0, 535.0)	(12.0, 489.0)	(13.0, 631.0)	(14.0, 730.0)	(15.0, 1115.0)	(16.0, 4272.0)	(17.0, 14461.0)	(18.0, 33279.0)	(19.0, 60143.0)	(20.0, 94135.0)	(21.0, 133945.0)	(22.0, 179906.0)	(23.0, 240954.0)	(24.0, 322296.0)	(25.0, 426688.0)	(26.0, 561338.0)	(27.0, 727183.0)	(28.0, 932008.0)	(29.0, 1187427.0)	(30.0, 1513112.0)	(31.0, 1963989.0)	(32.0, 2679767.0)	(33.0, 4010572.0)	(34.0, 6648178.0)	(35.0, 5357384.0)
SRR28499042_1	(16.0, 7.0)	(17.0, 112.0)	(18.0, 1167.0)	(19.0, 7077.0)	(20.0, 27294.0)	(21.0, 68894.0)	(22.0, 134333.0)	(23.0, 225066.0)	(24.0, 345795.0)	(25.0, 511404.0)	(26.0, 725966.0)	(27.0, 880693.0)	(28.0, 1050945.0)	(29.0, 1289386.0)	(30.0, 1591225.0)	(31.0, 2004520.0)	(32.0, 2679783.0)	(33.0, 4038803.0)	(34.0, 6954328.0)	(35.0, 5474211.0)														
SRR28499042_2	(2.0, 34.0)	(3.0, 595.0)	(4.0, 737.0)	(5.0, 2706.0)	(6.0, 2071.0)	(7.0, 1992.0)	(8.0, 1746.0)	(9.0, 1959.0)	(10.0, 2846.0)	(11.0, 2158.0)	(12.0, 2359.0)	(13.0, 2237.0)	(14.0, 1631.0)	(15.0, 2846.0)	(16.0, 9199.0)	(17.0, 23320.0)	(18.0, 46593.0)	(19.0, 81866.0)	(20.0, 129653.0)	(21.0, 183482.0)	(22.0, 242646.0)	(23.0, 313765.0)	(24.0, 405316.0)	(25.0, 515481.0)	(26.0, 646968.0)	(27.0, 802199.0)	(28.0, 987379.0)	(29.0, 1210997.0)	(30.0, 1501717.0)	(31.0, 1916979.0)	(32.0, 2622322.0)	(33.0, 4066345.0)	(34.0, 7159226.0)	(35.0, 5119639.0)
SRR28499045_1	(16.0, 3.0)	(17.0, 44.0)	(18.0, 496.0)	(19.0, 2909.0)	(20.0, 11125.0)	(21.0, 29529.0)	(22.0, 59555.0)	(23.0, 103471.0)	(24.0, 163160.0)	(25.0, 244156.0)	(26.0, 343592.0)	(27.0, 422581.0)	(28.0, 497232.0)	(29.0, 606612.0)	(30.0, 749606.0)	(31.0, 948545.0)	(32.0, 1272002.0)	(33.0, 1946177.0)	(34.0, 3449727.0)	(35.0, 2802760.0)														
SRR28499045_2	(2.0, 34.0)	(3.0, 290.0)	(4.0, 468.0)	(5.0, 1379.0)	(6.0, 929.0)	(7.0, 974.0)	(8.0, 904.0)	(9.0, 1049.0)	(10.0, 1331.0)	(11.0, 1042.0)	(12.0, 1158.0)	(13.0, 1027.0)	(14.0, 698.0)	(15.0, 1510.0)	(16.0, 4868.0)	(17.0, 11393.0)	(18.0, 22723.0)	(19.0, 44115.0)	(20.0, 79961.0)	(21.0, 124333.0)	(22.0, 176775.0)	(23.0, 235178.0)	(24.0, 302430.0)	(25.0, 374589.0)	(26.0, 452922.0)	(27.0, 540583.0)	(28.0, 635450.0)	(29.0, 753258.0)	(30.0, 911397.0)	(31.0, 1148006.0)	(32.0, 1546183.0)	(33.0, 2222860.0)	(34.0, 2885207.0)	(35.0, 1168258.0)
