Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR28499033_1	(1.0, 64.68266199065363)	(2.0, 10.248459757970963)	(3.0, 4.077857110572747)	(4.0, 2.245117133296328)	(5.0, 1.5574167983095326)	(6.0, 1.032600315373218)	(7.0, 0.8475675935481777)	(8.0, 0.618627858224984)	(9.0, 0.5422392370572555)	('>10', 5.205920069092461)	('>50', 1.4672962160956362)	('>100', 2.8586897650487786)	('>500', 0.820803204628147)	('>1k', 1.7097743314044087)	('>5k', 0.7123291960465277)	('>10k+', 1.3726394226771466)
SRR28499033_2	(1.0, 65.44035732942864)	(2.0, 10.256780551263654)	(3.0, 4.058016993581214)	(4.0, 2.0580968038688576)	(5.0, 1.4026121703825467)	(6.0, 1.01167450030271)	(7.0, 0.7678089176983974)	(8.0, 0.604120236114896)	(9.0, 0.4895257484309552)	('>10', 4.971146633122184)	('>50', 1.4369064906920925)	('>100', 2.6083617372350445)	('>500', 0.6728640598666089)	('>1k', 2.0153354064969298)	('>5k', 0.9469736661225905)	('>10k+', 1.2594187553927187)
SRR28499036_1	(1.0, 43.89861707843448)	(2.0, 19.94653402186412)	(3.0, 8.387393306133381)	(4.0, 3.473076747343671)	(5.0, 1.6497857474313957)	(6.0, 0.9722364682299622)	(7.0, 0.6547705698783324)	(8.0, 0.5025881557511116)	(9.0, 0.36664726451113056)	('>10', 3.423924793135423)	('>50', 0.8974777902052413)	('>100', 1.743542195867005)	('>500', 0.6853226138729437)	('>1k', 2.585859050199532)	('>5k', 1.5741357174560502)	('>10k+', 9.238088479686201)
SRR28499036_2	(1.0, 43.43561655327149)	(2.0, 18.514757245901244)	(3.0, 8.323355724495416)	(4.0, 3.91061033540158)	(5.0, 2.000251408065445)	(6.0, 1.2455475744139375)	(7.0, 0.8632935351613212)	(8.0, 0.7275019373661904)	(9.0, 0.5563452547136449)	('>10', 4.341460495093291)	('>50', 0.9600649601051718)	('>100', 1.5993041030502184)	('>500', 1.0763440767893802)	('>1k', 2.351827031660813)	('>5k', 0.8186022392754612)	('>10k+', 9.275117525235409)
SRR28499039_1	(1.0, 63.16540767561703)	(2.0, 11.224192823735883)	(3.0, 4.610767751954422)	(4.0, 2.4743286022379065)	(5.0, 1.5810185765977938)	(6.0, 1.124137150386953)	(7.0, 0.8203626347099081)	(8.0, 0.6543096239358819)	(9.0, 0.5375193470748552)	('>10', 5.247793945835398)	('>50', 1.3881440958015878)	('>100', 2.5191374631964663)	('>500', 0.6764879514356822)	('>1k', 1.6264762689895935)	('>5k', 0.5979997010589577)	('>10k+', 1.7519163874316477)
SRR28499039_2	(1.0, 62.55316282706511)	(2.0, 11.291764279160194)	(3.0, 4.658357318370979)	(4.0, 2.5318379446201322)	(5.0, 1.6098241121679107)	(6.0, 1.124792359831985)	(7.0, 0.9124570292994346)	(8.0, 0.7011994909461579)	(9.0, 0.5503739529438384)	('>10', 5.181042558680322)	('>50', 1.4140126991951945)	('>100', 2.468756995568204)	('>500', 0.7154682145353864)	('>1k', 1.9953457158007333)	('>5k', 0.7698145080874096)	('>10k+', 1.5217899937268562)
SRR28499042_1	(1.0, 64.01362788438595)	(2.0, 11.85281861134736)	(3.0, 4.783848981513396)	(4.0, 2.56548199234457)	(5.0, 1.6105020666298586)	(6.0, 1.102917867251092)	(7.0, 0.8699162062620421)	(8.0, 0.6727161575529214)	(9.0, 0.5434308612005018)	('>10', 4.596469603772682)	('>50', 1.1251218193061194)	('>100', 2.1733213554216446)	('>500', 0.7195325626972556)	('>1k', 1.4316225127998268)	('>5k', 0.43282228794980965)	('>10k+', 1.5058492295649217)
SRR28499042_2	(1.0, 63.41417732743954)	(2.0, 11.854534427069355)	(3.0, 4.8663154063765806)	(4.0, 2.6309469091856754)	(5.0, 1.6052270683376895)	(6.0, 1.19539192212388)	(7.0, 0.8492752116480327)	(8.0, 0.6470370967882343)	(9.0, 0.5297674104598862)	('>10', 4.628139698295182)	('>50', 1.1367960024844919)	('>100', 2.1275908916209665)	('>500', 0.6816376871018719)	('>1k', 1.8049161760845398)	('>5k', 0.6509863687020156)	('>10k+', 1.3772603962821208)
SRR28499045_1	(1.0, 69.88199950841197)	(2.0, 11.97609559846889)	(3.0, 4.252908035444683)	(4.0, 2.0970621843582777)	(5.0, 1.3186001263349816)	(6.0, 0.9112200176037616)	(7.0, 0.7185429526726138)	(8.0, 0.4808496247962645)	(9.0, 0.4290446010113343)	('>10', 3.5017820617725133)	('>50', 0.7143597208816456)	('>100', 0.9613302154596249)	('>500', 0.4013252870392762)	('>1k', 1.3051767983192422)	('>5k', 0.6015069284273264)	('>10k+', 0.4481963389975949)
SRR28499045_2	(1.0, 67.10550760797233)	(2.0, 11.002358608461057)	(3.0, 4.546514221985996)	(4.0, 2.44175545359486)	(5.0, 1.5788201911300828)	(6.0, 1.124671104670642)	(7.0, 0.8594178234169466)	(8.0, 0.6754492942230316)	(9.0, 0.5697729217042506)	('>10', 4.680710411623811)	('>50', 0.7964184340845213)	('>100', 1.287645834148601)	('>500', 0.5191585206412981)	('>1k', 0.7783654579321059)	('>5k', 0.4218787521895661)	('>10k+', 1.6115553622209042)
SRR28499048_1	(1.0, 70.78013093528187)	(2.0, 9.955814814042103)	(3.0, 3.331798931325481)	(4.0, 1.7454370068285936)	(5.0, 1.0805459942796205)	(6.0, 0.7755919949906924)	(7.0, 0.6205569300109892)	(8.0, 0.44846729657646334)	(9.0, 0.3906207412975459)	('>10', 4.084937608118793)	('>50', 1.225944736928267)	('>100', 2.0057540938085925)	('>500', 0.5656264791856513)	('>1k', 1.6048877272749567)	('>5k', 0.5335823449373299)	('>10k+', 0.850302365112972)
SRR28499048_2	(1.0, 67.58228631811866)	(2.0, 10.448310469798416)	(3.0, 3.7931264859202467)	(4.0, 1.9880458574660993)	(5.0, 1.2893132055421148)	(6.0, 0.9022019021484248)	(7.0, 0.6997497188921036)	(8.0, 0.5691233182233153)	(9.0, 0.4558003530666346)	('>10', 4.548494492474417)	('>50', 1.309535032821146)	('>100', 2.3247979048905134)	('>500', 0.9170613120639659)	('>1k', 1.6208786485673639)	('>5k', 0.5374593633181899)	('>10k+', 1.0138156166882761)
