Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR28499033_1	27.202333357347484	49.0	76.0	76	0.0	24.175826999999998
SRR28499033_2	26.562252262418795	50.0	76.0	76	9.090909090909092	24.175826999999998
SRR28499036_1	41.55589221417889	49.0	76.0	76	18.181818181818183	14.173898999999999
SRR28499036_2	42.39705531673914	54.0	76.0	76	36.36363636363637	14.173898999999999
SRR28499039_1	27.970599364535204	50.0	76.0	76	0.0	27.097624999999997
SRR28499039_2	28.49604233781774	52.0	76.0	76	9.090909090909092	27.097624999999997
SRR28499042_1	26.75611456025868	49.0	76.0	76	0.0	28.011008999999998
SRR28499042_2	27.298996967101402	51.0	76.0	76	9.090909090909092	28.011008999999998
SRR28499045_1	21.33818598970514	47.0	76.0	76	0.0	13.653281999999999
SRR28499045_2	24.197542738916113	48.0	76.0	76	18.181818181818183	13.653281999999999
SRR28499048_1	21.903788882140688	47.0	76.0	76	0.0	11.657637999999999
SRR28499048_2	24.512911949019966	49.0	76.0	76	0.0	11.657637999999999
