Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype_phenotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR28499031,RNA-Seq,152,2501191160,PRJNA1093402,SAMN40655501,1130026087,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100941,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179495,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:00:00Z,1,GSM8179495,LIM1215,SRP498671,none
SRR28499032,RNA-Seq,152,2565954864,PRJNA1093402,SAMN40655502,1159459940,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100940,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179494,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:02:00Z,1,GSM8179494,LIM1215,SRP498671,none
SRR28499033,RNA-Seq,152,3674725704,PRJNA1093402,SAMN40655503,1658861501,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100939,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179493,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:00:00Z,1,GSM8179493,LIM1215,SRP498671,none
SRR28499034,RNA-Seq,152,3556869616,PRJNA1093402,SAMN40655504,1600544630,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100938,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179492,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:00:00Z,1,GSM8179492,LIM1215,SRP498671,none
SRR28499035,RNA-Seq,152,2182564960,PRJNA1093402,SAMN40655505,982670252,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100937,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179491,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:01:00Z,1,GSM8179491,LIM1215,SRP498671,none
SRR28499036,RNA-Seq,152,2154432648,PRJNA1093402,SAMN40655506,971183882,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100936,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179490,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:01:00Z,1,GSM8179490,LIM1215,SRP498671,none
SRR28499037,RNA-Seq,152,5486146640,PRJNA1093402,SAMN40655507,2488037012,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100935,cetuximab-sensitive,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179489,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:06:00Z,1,GSM8179489,LIM1215,SRP498671,none
SRR28499038,RNA-Seq,152,3334525688,PRJNA1093402,SAMN40655508,1499462032,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100934,cetuximab-sensitive,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179488,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:00:00Z,1,GSM8179488,LIM1215,SRP498671,none
SRR28499039,RNA-Seq,152,4118839000,PRJNA1093402,SAMN40655509,1851399970,LIM1215,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100933,cetuximab-sensitive,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179487,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:06:00Z,1,GSM8179487,LIM1215,SRP498671,none
SRR28499040,RNA-Seq,152,3467189768,PRJNA1093402,SAMN40655510,1561122944,DiFi,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100932,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179486,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:03:00Z,1,GSM8179486,DiFi,SRP498671,none
SRR28499041,RNA-Seq,152,3977300248,PRJNA1093402,SAMN40655511,1784248935,DiFi,colon cancer cells,"INSTITUT DE RECHERCHE EXPÉRIMENTALE ET CLINIQUE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24100931,cetuximab-resistant,uncalculated,uncalculated,missing,NextSeq 2000,GSM8179485,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-07-03T00:00:00Z,2024-03-29T17:05:00Z,1,GSM8179485,DiFi,SRP498671,none
